id,mention,cui,start_index,end_index,sentence
33,kanker,C0006826,61,67,De term chemotherapeutica ging verwijzen naar middelen tegen kanker.
35,bactericide,C0279516,8,19,Ze zijn bactericide tegenover de meest gevoelige bacteriën bij hogere concentraties.
36,tuberculose,C0041296,29,40,"Bij ernstige infecties zoals tuberculose geldt het niet geven van antibiotica in de klassieke geneeskunde als ""kunstfout"" (ingaand tegen de regels van de geneeskunst)."
37,therapeutisch,C0087111,68,81,"In Europa was in 1997 het totale gebruik 5093 ton, waarvan 1494 ton therapeutisch werd gebruikt en de rest als groeibevorderende middelen."
38,allergie,C1690571,97,105,"Deze allergische reacties kunnen via een aantal verschillende mechanismen verlopen, zie hiervoor allergie."
39,persoonlijkheden,C0031208,51,67,"Al vroeg was hij ervan overtuigd dat hij over twee persoonlijkheden beschikte — enerzijds een moderne Zwitserse, op de buitenwereld gerichte persoonlijkheid nr."
40,ritueel,C0007825,4,11,"Dit ritueel bracht hem, zo zei hij als volwassene, een gevoel van innerlijke rust en veiligheid."
41,epilepsie,C0014544,177,186,"De volgende zes maanden bleef hij thuis, tot hij hoorde hoe zijn vader zich tegenover een bezoeker bezorgd uitliet over de toekomst van zijn zoon en vermoedde dat de jongen aan epilepsie leed."
42,libido,C0023618,51,57,"Het hete hangijzer bleek de functie van het begrip libido, dat Jung in zijn kort daarvoor uitgekomen boek Wandlungen und Symbole der Libido omschreven had als een psychische energie van een hoogst religieuze inhoud."
43,intuïtie,C0233828,105,113,"Hij stelde daarbij contrasterende functies tegenover elkaar: denken en voelen, perceptie (waarneming) en intuïtie, waarbij elke functie als het ware de pool is van een cirkel, die het zelf symboliseert."
44,introvert,C0021924,64,73,"Een bijkomende, belangrijke factor is of de psyche naar binnen (introvert) of naar buiten (extravert) is gericht."
45,extravert,C0021924,91,100,"Een bijkomende, belangrijke factor is of de psyche naar binnen (introvert) of naar buiten (extravert) is gericht."
46,depressies,C0154409,52,62,Tijdens zijn laatste levensjaren leed hij aan zware depressies die uiteindelijk leidden tot zijn zelfmoord op 2 juli 1961.
48,alcoholisme,C0001973,5,16,Zijn alcoholisme verergerde nog nadat zijn vader zelfmoord pleegde door zichzelf door het hoofd te schieten.
50,bloedarmoede,C0162119,7,19,Mary's bloedarmoede was bovendien verslechterd en Hemingway dacht dat een ander klimaat haar goed zou doen.
51,manische uitbarstingen gevolgd door diepe depressies,C0236780,47,99,Hij dronk meer dan ooit en leed aan vlagen van manische uitbarstingen gevolgd door diepe depressies.
53,depressie,C0154409,50,59,"De meest gangbare theorie is dat hij in een diepe depressie was verzeild, in het besef dat zijn literaire hoogtijdagen voorgoed achter hem lagen."
54,trauma's,C3203533,54,62,Het schrijven viel hem ook fysiek moeilijk na de vele trauma's die hij had opgelopen bij de ongelukken.
55,dementie,C0497327,52,60,Na deze behandelingen begon Hemingway symptomen van dementie en paranoia te vertonen.
56,paranoia,C1456784,64,72,Na deze behandelingen begon Hemingway symptomen van dementie en paranoia te vertonen.
57,homeostase,C0019868,27,37,"Dieren kenmerken zich door homeostase, die in stand wordt gehouden door meerdere regelmechanismen (positieve en negatieve terugkoppeling)."
58,mens,C0086418,7,11,Ook de mens gebruikt fruit.
59,ziekte,C0012634,108,114,Hij was ervan overtuigd dat gezondheid bij de mens afhing van de balans tussen lichaamssappen; onbalans zou ziekte veroorzaken.
60,temperament,C0039474,39,50,De fysieke en psychische toestand (het temperament) en ziekteverschijnselen werden verklaard uit het bestaande gehalte aan de verschillende sappen.
63,bijziendheid,C0027092,13,25,Vanwege zijn bijziendheid werd hij bij de keuring geweigerd.
64,morfine,C0026549,10,17,Hij kreeg morfine om de pijn te stillen en zou daar een levenslange verslaving aan overhouden.
68,Holocaust,C0206236,170,179,"Zijn aandeel in de planning en uitvoering van nazi-Duitslands aanvalsoorlogen, zijn persoonlijke schaamteloze roofzucht en ook zijn medewerking aan de organisatie van de Holocaust waren daarentegen zo duidelijk, dat hij op alle punten van de aanklacht schuldig werd bevonden."
70,Joden,C0022389,95,100,"Göring geloofde, naar eigen zeggen, wel dat er twee verheven volkeren waren: de Duitsers en de Joden, maar dat er in Europa slechts ruimte was voor een van deze twee."
72,pavlovreactie,C0034936,15,28,Naar hem is de pavlovreactie genoemd.
73,maagsap,C0017133,84,91,"Door het gat in de slokdarm viel het ingeslikte voedsel weer naar buiten, zodat het maagsap niet verontreinigd werd."
74,klassieke conditionering,C0034936,85,109,"Dit heet nu de voorwaardelijke reflex, en het door Pavlov ontdekte verschijnsel heet klassieke conditionering: als een prikkel A (geluid) herhaaldelijk voorafgaat aan prikkel B (het voeren) dat een bepaald gedrag (speekselproductie) oplevert, dan zal op den duur prikkel A reeds dat gedrag opleveren, ook zonder prikkel B. Om het verschijnsel van de voorwaardelijke reflex uitvoeriger te bestuderen voerden Pavlov en zijn studenten veel uitgebreide, systematische experimenten uit."
75,gallium,C0016980,24,31,"Er zijn enkele metalen (gallium, cesium, rubidium) waarvan het smeltpunt weinig hoger ligt."
76,cesium,C0007886,33,39,"Er zijn enkele metalen (gallium, cesium, rubidium) waarvan het smeltpunt weinig hoger ligt."
77,rubidium,C0035930,41,49,"Er zijn enkele metalen (gallium, cesium, rubidium) waarvan het smeltpunt weinig hoger ligt."
78,Broom,C0006223,0,5,Broom (geen metaal) is het enige andere element dat bij kamertemperatuur vloeibaar is.
79,telluur,C0039462,4,11,Met telluur vormt kwik een legering die snel reageert tot de nieuwe verbinding kwiktelluride.
80,zinkpoeder,C0043481,61,71,Een alternatief kan het bestrooien van het gemorste kwik met zinkpoeder zijn.
81,Bètalactamantibiotica,C0026458,29,50,"De stof is een voorbeeld van Bètalactamantibiotica (β-lactam), een groep stoffen met vergelijkbare eigenschappen."
82,bacteriedodende stof,C0279516,45,65,"Het bleek dat deze schimmel in staat was een bacteriedodende stof af te scheiden, die door Fleming 'penicilline' genoemd werd."
83,koorts,C0085594,157,163,"Hij paste het middel voor het eerst toe op een in het ziekenhuis opgenomen 19-jarige patiënte die leed aan een ernstige stafylokokken-infectie, die met hoge koortsen gepaard ging."
84,negenoog,C0007078,78,86,"Eveneens werd het middel toegediend aan een 18-jarige vrouw, die leed aan een negenoog op de bovenlip."
85,alanine,C0001898,64,71,"Penicilline werkt op peptidebindingen van het rechtsdraaiende D-alanine, dat voorkomt in de celwand van bacteriën - maar niet in mensen."
86,agressie,C1457883,36,44,Wel de psychische variant ervan: de agressie.
87,geweten,C0009790,110,117,"Zij ontmoeten weerstand in de moraal van de maatschappelijke orde, die haar neerslag vindt in het persoonlijk geweten, het Über-Ich."
88,afweermechanisme,C0011142,103,119,"Als de driften te sterk botsen met de eisen van het Über-Ich kan de psyche gebruikmaken van een aantal afweermechanismen, waarmee de psyche beschermd wordt tegen de psychische spanningen die ontstaan uit dit conflict."
89,pathologisch,C0030664,139,151,"In de eenentwintigste eeuw maakt de 'biologische psychiatrie' opgang, die stelt dat aan de meeste of zelfs alle psychiatrische ziekten een pathologisch proces in de hersenen ten grondslag ligt."
90,schizofrenie,C0036341,83,95,"Ongeveer 0,5-1,1% van de bevolking, wereldwijd en in alle samenlevingen, lijdt aan schizofrenie."
91,Antipsychotica,C0040615,0,14,Antipsychotica worden de laatste tien jaar vaker voorgeschreven aan ouderen in instellingen en aan kinderen met gedragsproblemen.
92,fluoxetine,C0016365,53,63,"Met name het in de negentiger jaren populaire middel fluoxetine (merknaam: Prozac, een antidepressivum uit de groep SSRI's) heeft de publieke belangstelling voor de psychofarmaca sterk doen toenemen."
93,groepen,C0033971,28,35,"Zowel individuen, paren als groepen (zoals gezinnen) kunnen zich laten behandelen."
94,empathisch,C0013989,29,39,"Goede therapeuten zijn warm, empathisch, begripvol, ondersteunend, vertrouwenwekkend en hoopvol."
95,hypochondrie,C0020604,126,138,"De Britse psychiaters Dicks en Rees onderzochten Hess en bevonden hem niet gek, maar wel psychisch labiel met een neiging tot hypochondrie en paranoia."
97,dijbeen,C0015811,134,141,Hess ondernam in gevangenschap twee zelfmoordpogingen: op 16 juni 1941 sprong hij van de trap op de stenen vloer en brak daarbij zijn dijbeen.
98,TBC,C0041296,57,60,"Tijdens deze internering werd zijn echtgenote besmet met TBC, een ziekte die tot aan haar dood in 1957 van tijd tot tijd zou blijven opspelen."
99,gevlekte scheerling,C0242872,93,112,Deze werd uitgevoerd door middel van het verplicht drinken van een beker met een extract van gevlekte scheerling - een plant met een langzaam werkend dodelijk gif.
100,Ammonia,C0051719,0,7,Ammonia is bekend als schoonmaakmiddel.
101,nitraten,C0028125,29,37,Dit zuur is de basis voor de nitraten.
102,aminozuren,C0002520,46,56,Alle eiwitten bevatten stikstof omdat zij uit aminozuren bestaan.
103,nucleïnezuren,C0028606,4,17,"Ook nucleïnezuren, de bouwstenen van DNA en RNA, bevatten stikstof."
104,luchtvervuiling,C0001873,50,65,"Stikstofverbindingen dragen op die manier bij aan luchtvervuiling in steden, die op zijn beurt leidt tot verlies aan levensjaren."
105,prostaat,C0033572,35,43,"De rest is vocht, afkomstig uit de prostaat en zaadblaasjes."
106,zaadblaas,C0036628,47,56,"De rest is vocht, afkomstig uit de prostaat en zaadblaasjes."
107,semenanalyse,C0202533,83,95,Het aantal beweeglijke zaadcellen wordt samen met andere parameters gemeten in een semenanalyse.
108,carcinoom,C0553707,31,40,"In 1922 vond men bij Freud een carcinoom, zodat een jaar later zijn rechter bovenkaak en verhemelte verwijderd moesten worden en hij een prothese kreeg."
109,verhemelte,C0700374,89,99,"In 1922 vond men bij Freud een carcinoom, zodat een jaar later zijn rechter bovenkaak en verhemelte verwijderd moesten worden en hij een prothese kreeg."
111,Narcistisch,C0027402,0,11,Narcistisch gedrag werkt Sigmund Freud verder uit naar het begrip eigenliefde.
112,psychotherapie,C0033968,79,93,De psychoanalyse kan gezien worden als een van de eerste vormen van de moderne psychotherapie.
113,hysterie,C0086441,62,70,"Fundamenteel is de kritiek van Richard Webster, die stelt dat hysterie geen psychogene oorzaak heeft, maar veroorzaakt wordt door minieme hersenbeschadigingen en epileptische aanvallen, die met de wetenschap van eind 19e eeuw niet te verklaren waren."
114,epileptische,C0014544,162,174,"Fundamenteel is de kritiek van Richard Webster, die stelt dat hysterie geen psychogene oorzaak heeft, maar veroorzaakt wordt door minieme hersenbeschadigingen en epileptische aanvallen, die met de wetenschap van eind 19e eeuw niet te verklaren waren."
117,blessure,C0004161,26,34,Hierdoor wordt de kans op blessures verkleind.
118,kind,C0008059,33,37,Doorgaans is de motoriek van een kind rond het 6e of 7e levensjaar voldoende ontwikkeld.
119,nitraat,C0028125,93,100,"Industrieel geproduceerde ammoniak vormde de onuitputtelijke grondstof voor de productie van nitraat, een belangrijk onderdeel van kunstmest."
120,allergenen,C0016470,34,44,"Ook de correcte identificatie van allergenen en andere ingrediënten waarvoor sommige consumenten intolerant zijn, behoort tot de voedselveiligheid."
121,longen,C0024109,44,50,Bij inademing wordt er dus zwavelzuur in de longen gevormd en dat kan ernstige gevolgen hebben (onder andere longoedeem).
122,longoedeem,C0034063,109,119,Bij inademing wordt er dus zwavelzuur in de longen gevormd en dat kan ernstige gevolgen hebben (onder andere longoedeem).
123,aerosol,C1112870,26,33,Deze rook is in feite een aerosol van kleine zwavelzuurdruppeltjes.
124,maltose,C0024658,62,69,Diastase staat sindsdien voor de groep enzymen die zetmeel in maltose omzet.
125,organische verbinding,C0029224,16,37,"Een co-enzym is organische verbinding, een relatief klein molecuul, dat in de cel fungeert als een soort aan/uitschakelaar voor een bepaalde reactie."
126,chemisch bestrijdingsmiddel,C0031253,42,69,"Voorbeelden van enzymremmers zijn sommige chemisch bestrijdingsmiddelen, zoals DDT, die de werking van belangrijke enzymen in het zenuwstelsel tegengaan."
127,DDT,C0011041,79,82,"Voorbeelden van enzymremmers zijn sommige chemisch bestrijdingsmiddelen, zoals DDT, die de werking van belangrijke enzymen in het zenuwstelsel tegengaan."
128,penicilline,C0030842,13,24,Zo blokkeert penicilline het actieve deel van een enzym dat veel bacteriën gebruiken om hun celwanden op te bouwen.
129,radium,C0034625,27,33,"Er werden toen bronnen van radium gezocht, voor gebruik in lichtgevende verf voor wijzers in horloges en dergelijke."
130,radioactief afval,C0034552,56,73,Bij de mijn blijven in veel gevallen grote hoeveelheden radioactief afval en verzuurde modder achter.
131,lever,C0023884,85,90,Bij blootstelling aan minder dan de dodelijke dosis bestaat er kans op schade aan de lever.
133,granaatappel,C1509685,31,43,"In haar hand heeft ze soms een granaatappel, die de vruchtbaarheid symboliseert."
134,castratieangst,C0003476,70,84,Het einde van de oedipale fase wordt volgens Freud gemarkeerd door de castratieangst.
136,genetisch,C0017398,42,51,Men denkt dat ongeveer 70% van het risico genetisch is bepaald; er zijn meerdere genen bij betrokken.
137,autopsie,C0004398,75,83,Hij was geïnteresseerd in de zaak en na haar dood deed Alois Alzheimer een autopsie op haar hersenen en beschreef eiwitophopingen -amyloïde plaques- aan de buitenkant en rondom de hersencellen.
138,neurofibrillaire kluwen,C0085400,77,100,"Binnen in de hersencellen bemerkte hij de aanwezigheid van kluwen vezels, de neurofibrillaire kluwen."
139,Apathie,C0085632,0,7,Apathie kan soms ook al voorkomen in dit stadium.
140,Urine-incontinentie,C0042024,0,19,Urine-incontinentie kan ontstaan.
142,decubitus,C4554531,99,108,"De doodsoorzaak is vaak een factor van buitenaf, zoals longontsteking of drukwonden/doorligwonden (decubitus); niet de ziekte zelf."
143,hersenschors,C0598598,51,63,"Bij post-mortemonderzoek wordt een sterk gekrompen hersenschors (atrofie) gevonden, met buiten de zenuwcel gelegen amyloïdneerslagen (seniele plaques), die ook rond de bloedvaten in de hersenen voorkomen."
144,atrofie,C0333641,65,72,"Bij post-mortemonderzoek wordt een sterk gekrompen hersenschors (atrofie) gevonden, met buiten de zenuwcel gelegen amyloïdneerslagen (seniele plaques), die ook rond de bloedvaten in de hersenen voorkomen."
145,seniele plaques,C0333463,134,149,"Bij post-mortemonderzoek wordt een sterk gekrompen hersenschors (atrofie) gevonden, met buiten de zenuwcel gelegen amyloïdneerslagen (seniele plaques), die ook rond de bloedvaten in de hersenen voorkomen."
146,neurofibrillaire kluwens,C0085400,72,96,Daarnaast zijn er in de cel gelegen verstrengelingen van het eiwit Tau (neurofibrillaire kluwens) te vinden.
149,plaques,C0333463,94,101,"Bij deze muizen bleek in het onderzoek dat het toedienen van bexaroteen tot gevolg had dat de plaques in de hersenen binnen drie dagen voor circa 50% verdwenen en dat de Alzheimersymptomen bij de muizen, zoals geheugenverlies, sterk verminderden."
150,lymfeklierkanker,C0948627,99,115,"Bexaroteen, oorspronkelijk een medicijn dat wordt gebruikt bij de behandeling van een bepaald type lymfeklierkanker, heeft, vergeleken met andere middelen, relatief weinig bijwerkingen."
151,hallucinatie,C0235153,35,47,"De aandoening kan gepaard gaan met hallucinaties (het horen van stemmen), paranoia, wanen en denkstoornissen."
153,wanen,C0011253,84,89,"De aandoening kan gepaard gaan met hallucinaties (het horen van stemmen), paranoia, wanen en denkstoornissen."
154,denkstoornis,C0233632,93,105,"De aandoening kan gepaard gaan met hallucinaties (het horen van stemmen), paranoia, wanen en denkstoornissen."
155,dissociatieve identiteitsstoornis,C0026773,93,126,"Ondanks de letterlijke betekenis van ""schizofrenie"" (""gespleten geest"") gaat het niet om een dissociatieve identiteitsstoornis, een aandoening waar schizofrenie soms mee wordt verward en die ook wel bekend is als ""meervoudige persoonlijkheidsstoornis"" of ""gespleten persoonlijkheid""."
157,Psychotherapie,C0033968,0,14,"Psychotherapie, ergotherapie en begeleiding bij terugkeer in de maatschappij zijn ook belangrijke onderdelen van de behandeling."
158,ergotherapie,C1318464,16,28,"Psychotherapie, ergotherapie en begeleiding bij terugkeer in de maatschappij zijn ook belangrijke onderdelen van de behandeling."
159,chloorpromazine,C0008286,139,154,In de jaren vijftig van de twintigste eeuw vond een revolutie plaats wat betreft de behandeling dankzij de ontwikkeling en introductie van chloorpromazine.
160,etnische groepen,C0027473,26,42,Schizofrenie komt in alle etnische groepen en over de hele wereld voor.
161,logorroe,C3248383,219,227,"Dit laatste kan variëren van de draad van het gesprek kwijt raken, tot zinnen die nog maar nauwelijks iets met elkaar te maken hebben, en in ernstige gevallen tot onsamenhangende spraak die bekendstaat als 'wortsalat' (logorroe)."
163,anhedonie,C0178417,152,161,"Negatieve symptomen duiden op de afwezigheid of een gebrek in bepaalde gedragsdomeinen zoals energieverlies, geen plezier meer in dingen kunnen hebben (anhedonie) en lusteloosheid."
164,welzijn,C0424578,236,243,"Kenmerkend aan schizofrenie is dat het een progressief proces is waarbij episodes met positieve symptomen elkaar opvolgen, waarbij hoe meer dergelijke episodes worden doorgemaakt des te meer negatieve symptomen bepalend worden voor het welzijn van de patiënt."
165,stupor,C0085628,31,37,Voorbeelden van symptomen zijn stupor en flexibilitas cerea (wasachtige buigzaamheid).
166,flexibilitas cerea,C0007370,41,59,Voorbeelden van symptomen zijn stupor en flexibilitas cerea (wasachtige buigzaamheid).
167,obsessieve-compulsieve stoornis,C0028768,53,84,"Schizofrenie komt zo vaak voor in combinatie met een obsessieve-compulsieve stoornis dat van puur toeval geen sprake kan zijn, alhoewel het lastig kan zijn om de obsessies bij een obsessieve-compulsieve stoornis te onderscheiden van de wanen die bij schizofrenie voorkomen."
168,delier,C0338644,18,24,Mogelijk moet een delier worden uitgesloten.
169,obesitas,C0028754,68,76,"Dit komt met name doordat de ziekte vaak voorkomt in combinatie met obesitas, een veelal zittend bestaan en roken."
170,roken,C0453996,108,113,"Dit komt met name doordat de ziekte vaak voorkomt in combinatie met obesitas, een veelal zittend bestaan en roken."
171,zelfdoding,C0038661,22,32,Het grotere risico op zelfdoding speelt een minder grote rol.
172,tetraplegie,C0034372,67,78,"Actieve psychose is de op twee na meest invaliderende stoornis, na tetraplegie en dementie en nog vóór dwarslaesie en blindheid."
174,dwarslaesie,C0037772,103,114,"Actieve psychose is de op twee na meest invaliderende stoornis, na tetraplegie en dementie en nog vóór dwarslaesie en blindheid."
175,blindheid,C0456909,118,127,"Actieve psychose is de op twee na meest invaliderende stoornis, na tetraplegie en dementie en nog vóór dwarslaesie en blindheid."
176,suïcide,C0038661,66,73,De diagnose schizofrenie gaat gepaard met een bovengemiddeld hoog suïcidepercentage.
178,bipolaire stoornis,C0236780,74,92,Er lijkt een grote overlap te zijn tussen de genetica van schizofrenie en bipolaire stoornis.
180,clozapine,C0009079,55,64,Dit blijkt onder andere uit het werkingsmechanisme van clozapine en aripiprazol.
181,aripiprazol,C0299792,68,79,Dit blijkt onder andere uit het werkingsmechanisme van clozapine en aripiprazol.
182,synaptische,C0039062,61,72,Schizofrenie wordt ook wel beschouwd als een stoornis van de synaptische verbindingen.
183,expressed emotion,C0302826,60,77,"Een steungevende, emotioneel niet belastende omgeving (lage expressed emotion), die veiligheid en voorspelbaarheid biedt, samen met structuur, zijn behulpzaam."
185,metabool syndroom,C0524620,89,106,"Gebruik van de atypische variant leidt vaker tot een flinke gewichtstoename, diabetes en metabool syndroom."
186,volksgezondheid,C0034019,49,64,"Een andere aanpak is beleid op het gebied van de volksgezondheid: er zou iets gedaan kunnen worden aan bepaalde sociaal-economische factoren die in verband zijn gebracht met het vaker voorkomen van schizofrenie in bepaalde groepen, bijvoorbeeld in samenhang met immigratie, etnische afkomst of armoede."
187,hersenen,C0006104,66,74,"De meeste anatomen specialiseren zich op bepaalde delen, zoals de hersenen of de ingewanden."
188,ingewanden,C0021853,81,91,"De meeste anatomen specialiseren zich op bepaalde delen, zoals de hersenen of de ingewanden."
190,geprogrammeerde celdood,C0162638,90,113,"Wanneer een cel niet in staat is om deze homeostase te handhaven, kan de cel overgaan tot geprogrammeerde celdood."
191,membraanpotentiaal,C0025251,99,117,Verder kan op dezelfde manier in een cel bekeken worden wat het effect van de transmitter is op de membraanpotentiaal.
192,pathologie,C0030664,44,54,Histologie speelt een belangrijke rol in de pathologie.
193,histologische kleuring,C0487602,24,46,Ze ondergaan daarom een histologische kleuring.
194,zenuw,C0027740,4,9,Een zenuw bestaat uit bundels axonen.
195,intraveneus,C0021494,46,57,Flemings vernieuwing was dat hij het medicijn intraveneus toediende aan patiënten – naar wat bleek de meest effectieve manier van toedienen.
197,filtraat,C0016107,19,27,"Fleming maakte een filtraat van de schimmel en constateerde dat die vele soorten bacteriën kon doden, terwijl de proefdieren er geen merkbaar nadelige gevolgen van ondervonden."
200,spraakafzien,C0023844,37,49,Door een combinatie van schrijven en spraakafzien kreeg hij het voor elkaar om meerdere van zijn geloofsgenoten binnen de benedictijner orde te leren spreken en schrijven.
201,taalachterstand,C0454641,165,180,Hetzelfde zien we bij doven die een gesproken taal gebruiken; bij sommige doven zijn afwijkingen tot het taalgebruik van horenden echter ook vaak het gevolg van een taalachterstand doordat het onderwijs in de gesproken taal erg moeilijk is.
202,spraak,C0392359,109,115,"Terwijl baby's wel de behoefte hebben om hun behoeftes te uiten, ontberen zij nog de mogelijkheid om dit via spraak te doen, omdat de spraakproductie zich nog ontwikkelt in de eerste levensmaanden en -jaren."
203,gehoor,C0018767,37,43,Het is het uitwendige orgaan van het gehoor en wordt vaak als synoniem gebruikt voor oorschelp.
204,oorschelp,C0928075,85,94,Het is het uitwendige orgaan van het gehoor en wordt vaak als synoniem gebruikt voor oorschelp.
205,gehoorbeentje,C0013450,25,38,Het trommelvlies laat de gehoorbeentjes trillen en die brengen de vloeistof in het slakkenhuis in beweging.
206,helix,C0229304,40,45,"De oorschelp bestaat uit de buitenrand, helix met oorlel, lobulus auriculae, en de binnenrand, anthelix, die naar de uitwendige gehoorgang, meatus acusticus externus, leidt."
207,oorlel,C0229315,50,56,"De oorschelp bestaat uit de buitenrand, helix met oorlel, lobulus auriculae, en de binnenrand, anthelix, die naar de uitwendige gehoorgang, meatus acusticus externus, leidt."
209,basilaire membraan,C0004816,26,44,"In het slakkenhuis zit de basilaire membraan, waarop ongeveer 20.000 haarcellen zitten."
210,gehoorstoornissen,C0018777,87,104,"Ze kunnen daardoor onherstelbaar worden beschadigd door hoge geluidsdoses, wat diverse gehoorstoornissen tot gevolg kan hebben."
211,gehoorzenuw,C0009201,54,65,"Deze haartjes zijn op hun beurt weer verbonden met de gehoorzenuw, die het signaal verder voert naar het gehoorcentrum in de hersenen."
213,auditieve cortex,C0004302,58,74,Dit vindt plaats in het gehoorcentrum van de hersenen: de auditieve cortex.
214,hersenzenuw,C0010268,158,169,"Hoewel het functioneel verschillende systemen zijn, zijn beide sterk verbonden en maken ze gebruik van dezelfde vloeistoffen, geven hun signalen via dezelfde hersenzenuw, de achtste, naar de hersenen door, en mogelijk zijn ze ook evolutionair voortgekomen uit een orgaan dat bewegingen registreert."
215,middenoorontsteking,C0029882,4,23,Een middenoorontsteking of otitis media is een ontsteking in het middenoor.
